"Rank","Root Domain","Linking Root Domains","Domain Authority"
"75","cnn.com","1,604,761","95"
"76","www.yahoo.com","1,330,743","95"
"77","medium.com","1,652,970","95"
"78","developers.google.com","1,090,357","95"
"79","news.google.com","770,306","95"
"80","scribd.com","767,522","94"
"81","books.google.com","435,080","94"
"82","twitter.com","59,072,538","94"
"83","id.wikipedia.org","526,748","94"
"84","usatoday.com","843,969","94"
"85","washingtonpost.com","1,144,754","94"
"86","indiatimes.com","462,011","94"
"87","t.co","2,096,998","94"
"88","express.co.uk","362,398","94"
"89","ig.com.br","156,373","94"
"90","fb.com","448,569","94"
"91","msn.com","1,105,922","94"
"92","ja.wikipedia.org","363,946","94"
"93","abril.com.br","271,612","94"
"94","wikia.com","512,333","94"
"95","archive.org","1,146,157","94"
"96","wired.com","675,356","94"
"97","foxnews.com","579,203","94"
"98","amazon.co.jp","850,189","94"
"99","wa.me","1,079,863","94"
"100","independent.co.uk","746,285","94"
"101","shopify.com","2,271,971","94"
"102","time.com","813,221","94"
"103","wp.com","1,889,403","94"
"104","un.org","581,486","94"
"105","google.pl","209,690","94"
"106","translate.google.com","298,504","94"
"107","pixabay.com","452,238","94"
"108","bloomberg.com","842,311","94"
"109","aboutads.info","593,413","94"
"110","ipv4.google.com","344,034","94"
"111","hugedomains.com","15,138,384","94"
"112","goo.gl","4,592,236","94"
"113","mediafire.com","851,029","94"
"114","4shared.com","557,593","94"
"115","elpais.com","421,573","94"
"116","wsj.com","975,063","94"
"117","booking.com","400,083","94"
"118","issuu.com","985,808","94"
"119","elmundo.es","239,952","94"
"120","bit.ly","4,830,846","94"
"121","amazon.fr","255,725","94"
"122","google.co.uk","598,936","94"
"123","thesun.co.uk","401,404","94"
"124","afternic.com","2,764,624","94"
"125","nasa.gov","672,549","94"
"126","dan.com","3,299,112","94"
"127","fandom.com","590,590","94"
"128","cdc.gov","879,845","94"
"129","amazon.de","553,788","94"
"130","google.it","446,942","94"
"131","amazon.es","187,641","94"
"132","picasaweb.google.com","639,082","94"
"133","terra.com.br","204,589","94"
"134","opera.com","910,327","94"
"135","google.ru","199,755","94"
"136","researchgate.net","655,467","94"
"137","office.com","486,606","94"
"138","mail.ru","487,188","94"
"139","marketingplatform.google....","846,937","94"
"140","cnet.com","721,557","94"
"141","hatena.ne.jp","1,488,144","94"
"142","telegram.me","352,434","94"
"143","cpanel.com","1,507,025","94"
"144","networkadvertising.org","732,206","94"
"145","businessinsider.com","795,135","94"
"146","myaccount.google.com","343,054","94"
"147","huffingtonpost.com","1,090,216","94"
"148","nature.com","592,588","94"
"149","forms.gle","673,846","94"
"150","buydomains.com","1,050,135","94"
"151","change.org","494,340","94"
"152","huffpost.com","1,203,973","94"
"153","ft.com","484,619","94"
"154","photos.google.com","278,843","94"
"155","tinyurl.com","1,413,877","94"
"156","aliexpress.com","507,616","94"
"157","get.google.com","708,709","94"
"158","mirror.co.uk","397,319","94"
"159","myspace.com","1,384,430","94"
"160","telegraph.co.uk","990,500","94"
"161","ytimg.com","799,338","94"
"162","dailymail.co.uk","1,091,214","94"
"163","namecheap.com","1,166,081","94"
"164","pinterest.com","8,475,812","94"
"165","estadao.com.br","132,738","94"
"166","amazon.co.uk","776,681","94"
"167","plesk.com","701,865","94"
"168","android.com","313,491","94"
"169","netvibes.com","1,209,124","94"
"170","news.yahoo.com","684,828","94"
"171","de.wikipedia.org","668,676","94"
"172","ru.wikipedia.org","378,670","94"
"173","google.fr","412,227","94"
"174","shutterstock.com","484,898","94"
"175","www.gov.uk","614,569","94"
"176","list-manage.com","777,281","94"
"177","nationalgeographic.com","639,281","93"
"178","biglobe.ne.jp","239,802","93"
"179","ria.ru","193,600","93"
"180","hollywoodreporter.com","288,526","93"
"181","gizmodo.com","408,990","93"
"182","academia.edu","381,249","93"
"183","francetvinfo.fr","166,201","93"
"184","guardian.co.uk","614,297","93"
"185","weibo.com","1,412,670","93"
"186","clickbank.net","483,005","93"
"187","lemonde.fr","269,912","93"
"188","gooyaabitemplates.com","471,417","93"
"189","it.wikipedia.org","339,011","93"
"190","ftc.gov","275,501","93"
"191","e-recht24.de","470,019","93"
"192","abc.es","204,610","93"
"193","nypost.com","408,373","93"
"194","gnu.org","584,974","93"
"195","imageshack.us","818,465","93"
"196","berkeley.edu","488,993","93"
"197","godaddy.com","2,528,571","93"
"198","spiegel.de","359,902","93"
"199","pinterest.de","131,608","93"
"200","www.wix.com","719,048","93"
"201","mozilla.com","204,612","93"
"202","dreamstime.com","394,309","93"
"203","abcnews.go.com","579,107","93"
"204","surveymonkey.com","451,234","93"
"205","freepik.com","323,532","93"
"206","domainmarket.com","605,464","93"
"207","nginx.org","683,918","93"
"208","lavanguardia.com","150,359","93"
"209","bp2.blogger.com","554,244","93"
"210","google.co.in","276,601","93"
"211","calendar.google.com","185,459","93"
"212","adssettings.google.com","383,642","93"
"213","thenai.org","508,324","93"
"214","smh.com.au","316,356","93"
"215","instagram.com","26,043,976","93"
"216","repubblica.it","202,933","93"
"217","abc.net.au","412,873","93"
"218","netlify.app","366,914","93"
"219","gofundme.com","349,628","93"
"220","ign.com","313,583","93"
"221","walmart.com","338,385","93"
"222","target.com","295,509","93"
"223","sapo.pt","232,898","93"
"224","cornell.edu","452,354","93"
"225","addthis.com","674,193","93"
"226","yelp.com","929,972","93"
"227","bandcamp.com","610,035","93"
"228","offset.com","1,383,364","93"
"229","vice.com","401,289","93"
"230","code.google.com","328,608","93"
"231","search.yahoo.com","466,182","93"
"232","linktr.ee","341,512","93"
"233","discord.gg","307,244","93"
"234","ca.gov","502,289","93"
"235","google.com.tw","143,834","93"
"236","m.wikipedia.org","312,681","93"
"237","rapidshare.com","290,705","93"
"238","news.com.au","314,418","93"
"239","feedproxy.google.com","762,787","93"
"240","aol.com","702,782","93"
"241","addtoany.com","744,825","93"
"242","pexels.com","320,392","93"
"243","hm.com","191,585","93"
"244","timeweb.ru","564,651","93"
"245","sfgate.com","386,483","93"
"246","dw.com","378,786","93"
"247","akamaihd.net","572,903","93"
"248","parallels.com","547,860","93"
"249","yandex.ru","1,005,690","93"
"250","newyorker.com","427,031","93"
"251","metro.co.uk","264,216","93"
"252","whitehouse.gov","395,603","93"
"253","samsung.com","385,576","93"
"254","twitch.tv","468,970","93"
"255","prezi.com","326,734","93"
"256","disqus.com","934,955","93"
"257","nikkei.com","243,487","93"
"258","quora.com","425,189","93"
"259","canada.ca","263,931","93"
"260","wiley.com","607,940","93"
"261","akamaized.net","293,243","93"
"262","springer.com","486,778","93"
"263","webmd.com","717,272","93"
"264","php.net","657,739","93"
"265","engadget.com","449,754","93"
"266","pinterest.fr","126,417","93"
"267","unesco.org","330,815","93"
"268","ggpht.com","762,018","93"
"269","privacyshield.gov","434,507","93"
"270","e-monsite.com","148,086","93"
"271","www.wikipedia.org","533,946","93"
"272","ted.com","630,321","93"
"273","sciencedirect.com","619,648","93"
"274","storage.googleapis.com","787,621","93"
"275","finance.yahoo.com","473,722","93"
"276","dailystar.co.uk","148,089","93"
"277","discord.com","343,854","93"
"278","cambridge.org","336,837","93"
"279","psychologytoday.com","376,315","93"
"280","ea.com","204,148","93"
"281","leparisien.fr","140,298","93"
"282","netflix.com","352,594","93"
"283","nydailynews.com","393,481","93"
"284","playstation.com","246,015","93"
"285","mit.edu","695,455","93"
"286","detik.com","398,365","93"
"287","ikea.com","358,938","93"
"288","qq.com","4,173,455","93"
"289","chicagotribune.com","376,797","93"
"290","t-online.de","261,084","93"
"291","lycos.com","684,345","93"
"292","amzn.to","912,022","93"
"293","themeforest.net","530,825","93"
"294","nginx.com","595,867","93"
"295","apache.org","976,287","93"
"296","photobucket.com","1,743,717","93"
"297","stanford.edu","631,768","93"
"298","canva.com","258,308","93"
"299","wikihow.com","581,180","93"
"300","picasa.google.com","257,020","93"
"301","rtve.es","186,921","93"
"302","xinhuanet.com","599,984","93"
"303","lefigaro.fr","224,419","93"
"304","eventbrite.com","641,370","93"
"305","goodreads.com","898,854","93"
"306","bild.de","184,360","93"
"307","bloglovin.com","517,495","93"
"308","oup.com","405,814","93"
"309","cnil.fr","214,341","93"
"310","urbandictionary.com","260,462","93"
"311","disney.com","253,264","93"
"312","rt.com","316,308","93"
"313","ovh.com","503,840","93"
"314","tripadvisor.com","683,738","93"
"315","ibm.com","514,392","93"
"316","oracle.com","601,799","93"
"317","rakuten.co.jp","630,552","93"
"318","cnbc.com","549,713","93"
"319","cbc.ca","484,446","93"
"320","mega.nz","181,837","93"
"321","spotify.com","1,469,807","93"
"322","groups.google.com","354,018","93"
"323","bing.com","998,165","93"
"324","20minutos.es","172,248","93"
"325","alibaba.com","401,217","93"
"326","ietf.org","386,014","93"
"327","standard.co.uk","248,349","93"
"328","alicdn.com","485,582","93"
"329","plos.org","296,328","93"
"330","outlook.com","335,289","93"
"331","google.nl","250,461","93"
"332","arxiv.org","238,629","93"
"333","instructables.com","350,099","93"
"334","as.com","151,415","93"
"335","welt.de","259,197","93"
"336","clarin.com","144,960","93"
"337","bitly.com","440,637","93"
"338","theatlantic.com","568,949","93"
"339","xbox.com","196,880","93"
"340","espn.com","392,800","93"
"341","thetimes.co.uk","407,527","93"
"342","bp1.blogger.com","553,821","93"
"343","hp.com","481,751","93"
"344","secureserver.net","1,010,464","93"
"345","sendspace.com","154,883","93"
"346","photos1.blogger.com","874,738","93"
"347","www.over-blog.com","817,597","93"
"348","pbs.org","540,763","93"
"349","skype.com","447,994","93"
"350","gmail.com","213,799","93"
"351","sciencemag.org","326,798","93"
"352","zendesk.com","515,212","93"
"353","soundcloud.com","1,810,192","93"
"354","kickstarter.com","480,778","93"
"355","icann.org","618,294","93"
"356","yadi.sk","179,758","93"
"357","interia.pl","155,369","93"
"358","npr.org","836,143","93"
"359","mashable.com","436,460","93"
"360","deezer.com","162,683","93"
"361","ziddu.com","189,304","93"
"362","steampowered.com","280,387","93"
"363","tiktok.com","461,547","93"
"364","doi.org","486,945","93"
"365","doubleclick.net","602,975","93"
"366","sedo.com","2,278,013","93"
"367","latimes.com","733,815","93"
"368","newsweek.com","374,668","93"
"369","ovh.net","556,683","93"
"370","www.gov.br","148,006","93"
"371","huawei.com","1,888,395","93"
"372","harvard.edu","748,106","93"
"373","naver.com","514,985","93"
"374","nbcnews.com","687,906","93"
"375","theverge.com","398,394","93"
"376","sputniknews.com","190,751","93"
"377","yahoo.co.jp","656,547","93"
"378","googleblog.com","264,820","93"
"379","economist.com","383,507","93"
"380","amazon.it","154,572","93"
"381","ebay.com","949,243","93"
"382","zoom.us","625,000","93"
"383","about.com","756,221","93"
"384","britannica.com","479,376","93"
"385","insider.com","330,440","93"
"386","pl.wikipedia.org","150,752","93"
"387","techcrunch.com","503,950","93"
"388","variety.com","293,868","93"
"389","buzzfeed.com","609,739","93"
"390","sciencedaily.com","363,933","93"
"391","google.ca","344,897","93"
"392","cbsnews.com","555,242","93"
"393","123rf.com","242,054","92"
"394","dreniq.com","254,518","92"
"395","google.co.id","188,520","92"
"396","ucoz.ru","186,154","92"
"397","nhk.or.jp","243,880","92"
"398","corriere.it","179,565","92"
"399","thehill.com","229,433","92"
"400","kompas.com","276,607","92"
"401","yandex.com","1,438,302","92"
"402","bbci.co.uk","212,642","92"
"403","airbnb.com","217,788","92"
"404","hbr.org","311,752","92"
"405","oecd.org","206,269","92"
"406","billboard.com","227,939","92"
"407","statista.com","323,432","92"
"408","vkontakte.ru","338,398","92"
"409","nifty.com","219,348","92"
"410","asahi.com","195,061","92"
"411","thoughtco.com","370,347","92"
"412","bp3.blogger.com","553,942","92"
"413","businesswire.com","325,326","92"
"414","venturebeat.com","235,803","92"
"415","eonline.com","262,915","92"
"416","mysql.com","416,617","92"
"417","uefa.com","153,615","92"
"418","stores.jp","429,427","92"
"419","vox.com","457,479","92"
"420","politico.com","284,275","92"
"421","namesilo.com","307,011","92"
"422","focus.de","153,417","92"
"423","twimg.com","699,140","92"
"424","fb.me","323,756","92"
"425","kotaku.com","145,030","92"
"426","orange.fr","181,302","92"
"427","groups.yahoo.com","311,886","92"
"428","people.com","248,105","92"
"429","nokia.com","169,102","92"
"430","thestar.com","242,006","92"
"431","a8.net","453,599","92"
"432","dictionary.com","334,821","92"
"433","usnews.com","444,660","92"
"434","fda.gov","370,692","92"
"435","etsy.com","1,739,470","92"
"436","asus.com","164,024","92"
"437","techradar.com","172,441","92"
"438","usgs.gov","239,107","92"
"439","merriam-webster.com","309,874","92"
"440","iso.org","203,784","92"
"441","slate.com","392,413","92"
"442","zdf.de","140,796","92"
"443","imageshack.com","429,234","92"
"444","amazon.ca","235,115","92"
"445","fastcompany.com","323,562","92"
"446","example.com","272,091","92"
"447","rambler.ru","503,694","92"
"448","fortune.com","276,583","92"
"449","pinterest.co.uk","227,304","92"
"450","rbc.ru","129,346","92"
"451","sakura.ne.jp","388,687","92"
"452","ox.ac.uk","274,958","92"
"453","fifa.com","175,481","92"
"454","nl.wikipedia.org","172,838","92"
"455","ebay.co.uk","227,400","92"
"456","zeit.de","183,369","92"
"457","unam.mx","139,269","92"
"458","sky.com","231,573","92"
"459","indianexpress.com","246,367","92"
"460","sueddeutsche.de","185,768","92"
"461","pcmag.com","290,952","92"
"462","timeout.com","196,005","92"
"463","lg.com","141,721","92"
"464","kakao.com","134,130","92"
"465","softonic.com","158,430","92"
"466","www.livejournal.com","3,010,569","92"
"467","ovh.co.uk","392,820","92"
"468","state.gov","332,552","92"
"469","rfi.fr","130,976","92"
"470","pnas.org","231,203","92"
"471","blackberry.com","147,648","92"
"472","mixcloud.com","226,044","92"
"473","sina.com.cn","1,007,790","92"
"474","loc.gov","466,489","92"
"475","evernote.com","325,603","92"
"476","weforum.org","226,541","92"
"477","yale.edu","331,833","92"
"478","xda-developers.com","151,860","92"
"479","utexas.edu","275,895","92"
"480","sports.yahoo.com","223,851","92"
"481","elsevier.com","302,810","92"
"482","nicovideo.jp","161,362","92"
"483","ap.org","195,808","92"
"484","debian.org","403,441","92"
"485","wn.com","213,758","92"
"486","jhu.edu","244,119","92"
"487","archives.gov","266,610","92"
"488","dell.com","248,302","92"
"489","usda.gov","403,004","92"
"490","house.gov","290,939","92"
"491","dot.tk","10,331,690","92"
"492","columbia.edu","335,871","92"
"493","public-api.wordpress.com","194,483","92"
"494","redbull.com","159,482","92"
"495","imgur.com","1,405,196","92"
"496","box.com","278,551","92"
"497","cbslocal.com","357,846","92"
"498","ads.google.com","150,856","92"
"499","gsmarena.com","121,052","92"
"500","intel.com","253,691","92"
